archetype,calculation_load,candidate_id,cat_likeness_score,common_wrong_approaches,correct_answer,coverage_gain_score,coverage_recovery_eligible,detailed_solution,difficulty,difficulty_match_score,estimated_time_min,evidence_alignment_score,expected_question_value,final_question_value_score,generation_method,hidden_constraints,option_a,option_b,option_c,option_d,option_quality_score,paper_eligible,parse_notes,parse_status,prediction_score,question_text,question_type,reasoning_depth,reasoning_depth_score,redundancy_penalty,rejection_reason,section,selection_reason,solution_clarity_score,source_pool,source_question_ids,source_tex_file,spec_id,subtopic,topic,trap_quality_score,trap_type,verification_status,why_cat_level
Base-change identity with algebraic cancellation,4,CAT_QA_SPEC_16_GENSPARK_FINAL_01,0.89,"Attempting decimal approximations of $a$ and $b$, which introduces rounding errors and often yields a non-integer that matches no option. | Making a sign error in the numerator expansion of $1 - ab$ and obtaining $-5$ instead of $5$. | Incorrectly simplifying $\log_{12} 18$ by splitting it as $\log_{12} 2 + \log_{12} 9$ and then mishandling the individual terms, leading to the distractor 3 or 7.",(B) $5$,1.0,NO,"Step 1: Set $p = \ln 2$ and $q = \ln 3$. Then \[ a = \frac{\ln 18}{\ln 12} = \frac{p + 2q}{2p + q}, \qquad b = \frac{\ln 54}{\ln 24} = \frac{p + 3q}{3p + q}. \] Step 2: Compute $a - b$ over the common denominator $(2p+q)(3p+q)$: \begin{align*} a - b &= \frac{(p+2q)(3p+q) - (p+3q)(2p+q)}{(2p+q)(3p+q)}. \end{align*} Expanding the numerator: \[ (3p^2 + 7pq + 2q^2) - (2p^2 + 7pq + 3q^2) = p^2 - q^2 = (p-q)(p+q). \] Step 3: Compute $ab$: \[ ab = \frac{(p+2q)(p+3q)}{(2p+q)(3p+q)} = \frac{p^2 + 5pq + 6q^2}{6p^2 + 5pq + q^2}. \] Step 4: Compute $1 - ab$: \[ 1 - ab = \frac{(6p^2 + 5pq + q^2) - (p^2 + 5pq + 6q^2)}{(2p+q)(3p+q)} = \frac{5p^2 - 5q^2}{(2p+q)(3p+q)} = \frac{5(p-q)(p+q)}{(2p+q)(3p+q)}. \] Step 5: Form the ratio: \[ \frac{1 - ab}{a - b} = \frac{5(p-q)(p+q)}{(2p+q)(3p+q)} \cdot \frac{(2p+q)(3p+q)}{(p-q)(p+q)} = 5. \] Note that $p \neq q$ (since $\ln 2 \neq \ln 3$) and $p + q \neq 0$, so the cancellation is valid.",Hard,1.0,4.5,0.235,0.728,0.842,,The expression simplifies only when both logs are rewritten with a common substitution; no numerical evaluation is needed,$3$,$5$,$7$,$-5$,0.75,YES,,OK,0.308,"Let $\,a = \log_{12} 18\,$ and $\,b = \log_{24} 54$. \; What is the value of \[ \frac{1 - ab}{a - b}\;? \]",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q23;CAT_2018_S1_QA_Q11;CAT_2019_S2_QA_Q19,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_04_linear_equations_logarithms_final.tex,CAT_QA_SPEC_16,Logarithms,Algebra,1.0,Attempting brute-force decimal computation instead of algebraic substitution,,"The expression looks as though it demands numerical computation of irrational logarithms, but an algebraic substitution $p = \ln 2$, $q = \ln 3$ reveals a clean factorisation that cancels perfectly. Recognising this algebraic pathway and executing the expansion without arithmetic errors requires sustained multi-step reasoning. The trap options (3, 7, $-5$) correspond to common expansion mistakes or sign errors."
Digit manipulation problem,3.0,CAT_QA_SPEC_17_FULL_01,0.84,,49,,,"Step 1: Let the number be 100a+10b+c. Step 2: Reversed-original equals 99(c-a). Step 3: Given 198, c-a=2. Step 4: a can be 1 through 7. Step 5: For each, b has 7 non-zero choices excluding a and c, total 49.",Hard,,3.5,,0.727,0.727,codex_full_qa_generation,The middle digit is free but must be non-zero and distinct.,35,42,49,56,,NO,,,,How many three-digit numbers have distinct non-zero digits and become larger by 198 when their digits are reversed?,MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S2_QA_Q26;CAT_2020_S1_QA_Q01;CAT_2021_S2_QA_Q12,,CAT_QA_SPEC_17,Digits,Number System,,digit reversal difference trap,VERIFIED,
Proportion bound with hidden single-variable reduction,3,CAT_QA_SPEC_12_GENSPARK_FINAL_02,1.0,"Treating $a$ and $N$ as two independent variables, leading to an incorrect (and far larger) enumeration of pairs. | Applying the $40\%$--$60\%$ constraint to $a$ alone without linking it back to $N$, then claiming the answer is the number of valid $a$ values rather than valid $N$ values. | Using strict inequalities ($>40\%$, $<60\%$) instead of non-strict, which excludes the boundary values and gives 6 instead of 8.",8,0.55,NO,"Step 1: Let $a$ and $o$ denote the number of apples and oranges respectively. Then $a + o = N$ and $12a + 8o = 1000$. Step 2: Substituting $o = N - a$ into the revenue equation: \[ 12a + 8(N - a) = 1000 \implies 4a = 1000 - 8N \implies a = 250 - 2N. \] So once $N$ is chosen, $a$ is completely determined: the system has no additional freedom. Step 3: Both quantities must be positive integers: $a = 250 - 2N \ge 1$ gives $N \le 124$, and $o = 3N - 250 \ge 1$ gives $N \ge 84$. These are automatically satisfied within the tighter range found next. Step 4: Apply the proportion constraint $0.4N \le a \le 0.6N$: \begin{align*} 0.4N &\le 250 - 2N &\implies 2.4N &\le 250 &\implies N &\le 104,\\ 250 - 2N &\le 0.6N &\implies 250 &\le 2.6N &\implies N &\ge 97. \end{align*} Step 5: Since $a = 250 - 2N$ is automatically a positive integer for every integer $N$ in $[97, 104]$, every such $N$ yields a valid solution. The distinct values of $N$ are $97, 98, 99, 100, 101, 102, 103, 104$, a total of $\boxed{8}$. Verification of boundary cases: for $N = 97$, $a = 56$, $o = 41$, proportion $= 56/97 \approx 0.577$; for $N = 104$, $a = 42$, $o = 62$, proportion $= 42/104 \approx 0.404$. Both lie within $[0.4, 0.6]$.",Hard,1.0,4.0,0.373,0.722,0.839,,"The price-quantity system forces quantity of each item to be a deterministic function of the total, reducing freedom to one variable",,,,,1.0,YES,,OK,0.418,"A fruit vendor sells only apples and oranges on a given day. Apples cost Rs.\,12 each and oranges cost Rs.\,8 each. The vendor sells a total of $N$ fruits and earns exactly Rs.\,1000. The number of apples sold is at least $40\%$ but no more than $60\%$ of the total fruits sold, and the vendor sells at least one fruit of each type. How many distinct values can $N$ take?",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q11;CAT_2019_S1_QA_Q26;CAT_2020_S1_QA_Q20,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_04_linear_equations_logarithms_final.tex,CAT_QA_SPEC_12,Linear Equations,Algebra,0.75,Over-relaxed equation trap -- students treat two-variable system without realising one variable is determined,,"The problem appears to be a two-variable counting exercise but conceals a single-variable reduction: the revenue and total constraints together pin each quantity as a function of $N$ alone. Students who do not spot this reduction may attempt a tedious two-variable enumeration or incorrectly believe many $(a, o)$ pairs exist for each $N$. The proportion constraint then becomes a clean inequality on one variable, but only after the hidden reduction is recognised."
Function value/domain problem,4,CAT_QA_SPEC_13_GPT55Thinking_FUNCIRC_02,0.89,Assuming $f(x)=3x+2/x$ by ignoring the second term. | Substituting $x=1/2$ only once and trying to guess $f(2)$. | Forgetting that the second evaluation requires the derived general form of $f$.,(A) $\dfrac{433}{306}$,0.55,NO,"Step 1: The given relation links $f(x)$ and $f(1/x)$. Let \[ a=f(x),\qquad b=f\left(\frac1x\right). \] Then \[ a+2b=3x+\frac2x. \] Step 2: Replace $x$ by $1/x$ in the same identity. Since $x>0$, this replacement is valid. We get \[ f\left(\frac1x\right)+2f(x)=\frac3x+2x, \] or \[ b+2a=\frac3x+2x. \] Step 3: Solve the two linear equations: \[ a+2b=3x+\frac2x,\qquad 2a+b=2x+\frac3x. \] Multiplying the second equation by $2$ and subtracting the first gives \[ 3a=x+\frac4x. \] Thus \[ f(x)=\frac{x+\frac4x}{3}. \] Step 4: Now compute \[ f\left(\frac12\right)=\frac{\frac12+8}{3}=\frac{17}{6}. \] Step 5: Apply $f$ again: \[ f\left(\frac{17}{6}\right) = \frac{\frac{17}{6}+\frac{4}{17/6}}{3} = \frac{\frac{17}{6}+\frac{24}{17}}{3}. \] Step 6: Combine the fractions: \[ \frac{17}{6}+\frac{24}{17} = \frac{289+144}{102} = \frac{433}{102}. \] Therefore \[ f\left(f\left(\frac12\right)\right)=\frac{433}{306}. \]",Hard,1.0,4.0,0.353,0.722,0.84,,the equation must be used simultaneously at x and 1/x over positive reals,$\dfrac{433}{306}$,$\dfrac{289}{204}$,$\dfrac{17}{6}$,$\dfrac{306}{433}$,0.75,YES,,OK,0.414,A function $f$ maps positive real numbers to positive real numbers and satisfies \[ f(x)+2f\left(\frac1x\right)=3x+\frac2x \] for every positive real number $x$. What is the value of $f\left(f\left(\frac12\right)\right)$?,MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q31;CAT_2017_S2_QA_Q32;CAT_2018_S1_QA_Q03;CAT_2018_S1_QA_Q33;CAT_2018_S2_QA_Q30;CAT_2019_S1_QA_Q09;CAT_2019_S1_QA_Q33;CAT_2019_S2_QA_Q10,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_05_functions_circles_gpt55_cleaned.tex,CAT_QA_SPEC_13,Functions,Algebra,1.0,solving only one functional equation instead of the paired system,,The question hides a two-equation structure inside an inverse-like input. The computation becomes straightforward only after recognizing that $x$ and $1/x$ must be paired. This is not a direct formula question because the formula for $f(x)$ has to be extracted before evaluation.
Function value/domain problem,4,CAT_QA_SPEC_13_GPT55Thinking_FUNCIRC_03,0.89,"Taking the range of $f$ as $[3,11]$ and applying $f$ beyond its domain. | Ignoring the flat middle interval where $f(x)=3$. | Reporting the maximum value of $g$ instead of the length of its range.",(B) $6$,0.55,NO,"Step 1: Since $f$ is defined only on $[0,10]$, $g(x)=f(f(x))$ is defined only for those $x\in[0,10]$ for which $f(x)\in[0,10]$. Step 2: Evaluate $f(x)$ by intervals: \[ f(x)= \begin{cases} 11-2x, & 0\le x<4,\\ 3, & 4\le x\le 7,\\ 2x-11, & 7<x\le 10. \end{cases} \] Step 3: The range of $f$ on $[0,10]$ is $[3,11]$. However, for the composition, the intermediate value must lie in $[0,10]$. Hence the value $11$ is not usable as a second input. The admissible intermediate range is therefore $[3,10]$. Step 4: To find the range of $g$, evaluate $f(y)$ for $y\in[3,10]$. Step 5: On $[3,4]$, \[ f(y)=11-2y, \] which ranges from $5$ down to $3$. Step 6: On $[4,7]$, $f(y)=3$. On $[7,10]$, \[ f(y)=2y-11, \] which ranges from $3$ to $9$. Step 7: Combining these pieces, the range of $g$ is \[ [3,9]. \] Therefore, the length of the range is \[ 9-3=6. \]",Hard,1.0,4.5,0.353,0.722,0.84,,"the second input must remain inside the stated domain [0,10]",$5$,$6$,$7$,$8$,0.75,YES,,OK,0.414,"A function $f$ is defined only on $[0,10]$ by \[ f(x)=|x-4|+|x-7|. \] Let $g(x)=f(f(x))$ whenever this composition is defined. What is the length of the range of $g$?",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q31;CAT_2017_S2_QA_Q32;CAT_2018_S1_QA_Q03;CAT_2018_S1_QA_Q33;CAT_2018_S2_QA_Q30;CAT_2019_S1_QA_Q09;CAT_2019_S1_QA_Q33;CAT_2019_S2_QA_Q10,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_05_functions_circles_gpt55_cleaned.tex,CAT_QA_SPEC_13,Functions,Algebra,1.0,using the full range of f without checking the original domain,,"The main difficulty is not the absolute value expression but the domain carried through composition. A direct range calculation for $f$ gives $[3,11]$, but $11$ cannot be used as an input again. The question rewards control over composition, interval splitting, and range tracking."
Interest-rate/time comparison problem,3.0,CAT_QA_SPEC_09_ELITE2_04,0.79,,50000,,,Step 1: Let the two parts be 3x and 2x. Step 2: Simple interest on 3x at 8% for 3 years is 0.24(3x)=0.72x. Step 3: Compound interest on 2x at 10% for two years is 2x(1.21-1)=0.42x. Step 4: Total interest is 1.14x = 11400. Step 5: Therefore x=10000 and the original sum is 5x=50000.,Hard,,3.5,,0.721,0.721,codex_weak_spec_elite_generation,The split ratio and different interest methods create different bases for the two interest components.,,,,,,NO,,,,"A sum is split into two parts in the ratio 3:2. The larger part is invested at 8% simple interest for 3 years, and the smaller part at 10% compound interest for 2 years. If the total interest is Rs 11400, what was the original sum?",TITA,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S1_QA_Q15;CAT_2018_S2_QA_Q28;CAT_2019_S1_QA_Q11,,CAT_QA_SPEC_09,Simple Interest Compound Interest,Arithmetic,,split-principal interest-method trap,VERIFIED,
Divisor-constrained optimization with integer feasibility,4,CAT_QA_SPEC_12_GENSPARK_FINAL_03,0.84,"Trying only a few small values of $n$ (say $n \le 10$) and concluding no large $n$ works, since those all violate the upper-bound constraint. | Forgetting that $k$ must be a positive integer and accepting non-integer values of $k$ for certain divisors. | Confusing ``consecutive positive integers'' with ``consecutive even'' or ``consecutive odd'' integers, leading to a different equation and wrong answer.",18,0.55,NO,"Step 1: Let the team sizes be $k, k+1, k+2, \ldots, k+n-1$, where $k \ge 3$ and $k + n - 1 \le 25$. Their sum is \[ S = nk + \frac{n(n-1)}{2} = \frac{n(2k + n - 1)}{2} = 225. \] So $n(2k + n - 1) = 450$. Step 2: Since $n$ and $2k + n - 1$ are positive integers whose product is 450, $n$ must be a positive divisor of 450. Solving for $k$: \[ k = \frac{450/n - n + 1}{2}. \] For $k$ to be a positive integer, $450/n - n + 1$ must be a positive even number. Step 3: The divisors of $450 = 2 \times 3^2 \times 5^2$ are $1, 2, 3, 5, 6, 9, 10, 15, 18, 25, 30, 45, 50, \ldots$ Evaluate $k$ for each: \begin{center} \begin{tabular}{ccccl} $n$ & $450/n$ & $k$ & $k + n - 1$ & Status \\ \hline 9 & 50 & 21 & 29 & $29 > 25$: fails upper bound \\ 10 & 45 & 18 & 27 & $27 > 25$: fails upper bound \\ 15 & 30 & 8 & 22 & $k \ge 3$, max $\le 25$: valid \\ 18 & 25 & 4 & 21 & $k \ge 3$, max $\le 25$: valid \\ 25 & 18 & $-3$ & -- & $k < 0$: fails \end{tabular} \end{center} Step 4: All divisors $n \le 6$ give $k > 25$, violating the upper-bound constraint. The two valid solutions are $n = 15$ (sizes 8 through 22) and $n = 18$ (sizes 4 through 21). Step 5: The maximum value of $n$ is therefore $\boxed{18}$. Cross-check: with $n = 18$ and $k = 4$, the sum is $\frac{18 \times (8 + 17)}{2} = \frac{18 \times 25}{2} = 225$, and the sizes 4 through 21 all lie in $[3, 25]$.",Hard,1.0,4.5,0.373,0.715,0.829,,n must divide 450 and the derived smallest team size must be a positive integer satisfying both lower and upper bounds,,,,,1.0,YES,,OK,0.418,A group of 225 students is to be divided into $n$ teams whose sizes are $n$ consecutive positive integers (each integer used exactly once as a team size). Every team must have at least 3 members and no team may have more than 25 members. What is the maximum possible value of $n$?,TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2018_S1_QA_Q27;CAT_2019_S2_QA_Q11;CAT_2019_S2_QA_Q31,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_04_linear_equations_logarithms_final.tex,CAT_QA_SPEC_12,Linear Equations,Algebra,1.0,Students test a few small values of n but miss the divisibility-plus-parity filter,,"The problem requires recognising that the sum-of-consecutive-integers condition implies a divisor constraint on 450, then systematically testing divisors against two simultaneous inequalities and a parity/integrality check on $k$. It is not solvable by a single formula or by trial-and-error on small numbers alone, because the feasible region is non-obvious and the answer ($n = 18$) is surprisingly large relative to the upper bound of 25 on team size."
Divisibility/factor-counting problem,3.0,CAT_QA_SPEC_20_FULL_01,0.84,,70,,,"Step 1: Multiples are 75,50,30. Step 2: Pairwise lcm counts are 25,15,10. Step 3: Triple lcm 60 gives 5. Step 4: Exactly one = singles -2(pair overlaps)+3(triple). Step 5: 155-100+15=70.",Hard,,3.5,,0.711,0.711,codex_full_qa_generation,Exactly-one divisibility is not the same as union count.,60,70,80,90,,NO,,,,"How many integers from 1 to 300 are divisible by exactly one of 4, 6 and 10?",MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2019_S2_QA_Q06;CAT_2022_S2_QA_Q13;CAT_2023_S1_QA_Q04,,CAT_QA_SPEC_20,Divisibility,Number System,,exactly-one overlap trap,VERIFIED,
Digit manipulation problem,3.0,CAT_QA_SPEC_17_FULL_04,0.84,,88,,,"Step 1: Hundreds digit is 1 to 6. Step 2: Units digit is 0 or 5. Step 3: If units digit is 0, hundreds has 6 choices and tens has 8 choices, giving 48. Step 4: If units digit is 5, hundreds has 5 choices and tens has 8 choices, giving 40. Step 5: Total is 88.",Hard,,3.5,,0.704,0.704,codex_full_qa_generation,The upper bound and unit digit 5 both affect distinctness choices.,80,88,96,104,,NO,,,,"How many positive integers less than 700 have exactly three digits, no repeated digit, and are divisible by 5?",MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S2_QA_Q26;CAT_2020_S1_QA_Q01;CAT_2021_S2_QA_Q12,,CAT_QA_SPEC_17,Digits,Number System,,non-repeating digit divisibility trap,VERIFIED,
Coordinate geometry line/slope/distance problem,5,CAT_QA_SPEC_18_GPT55Thinking_COORDMENS_04,0.89,Using $AC$ instead of $BC$ as the adjacent side in the parallelogram area. | Forgetting the absolute value in the determinant. | Ignoring the condition $p>10$ after obtaining two integer candidates.,$23$,0.55,NO,"Step 1: In a parallelogram, the diagonals bisect each other. Hence the midpoint of $AC$ is \[ \left(\frac{1+p}{2},\frac{2+q}{2}\right). \] Step 2: This point lies on $x+2y=16$, so \[ \frac{1+p}{2}+2\left(\frac{2+q}{2}\right)=16. \] Step 3: Simplify: \[ \frac{1+p}{2}+2+q=16. \] Multiplying by $2$, \[ 1+p+4+2q=32, \] so \[ p+2q=27. \] Step 4: The adjacent side vectors are \[ \overrightarrow{AB}=(6,3),\qquad \overrightarrow{BC}=(p-7,q-5). \] The area of the parallelogram is the absolute value of their determinant: \[ \left|6(q-5)-3(p-7)\right|=42. \] Step 5: Substitute $p=27-2q$: \[ \left|6q-30-3(27-2q-7)\right|=42. \] This becomes \[ \left|6q-30-3(20-2q)\right|=42, \] or \[ |12q-90|=42. \] Step 6: Therefore, \[ 12q-90=42 \quad \text{or} \quad 12q-90=-42. \] So \[ q=11 \quad \text{or} \quad q=4. \] Step 7: From $p+2q=27$, these give \[ (q,p)=(11,5) \quad \text{or} \quad (4,19). \] The condition $p>10$ selects \[ p=19,\qquad q=4. \] Hence \[ p+q=23. \]",Hard,1.0,5.0,0.549,0.700,0.839,,diagonal midpoint line and integer-coordinate condition reduce the possible vertices,,,,,1.0,YES,,OK,0.247,"In a parallelogram $ABCD$ with vertices taken in that order, $A=(1,2)$ and $B=(7,5)$. The vertex $C=(p,q)$ has integer coordinates and $p>10$. The diagonals intersect at a point lying on the line $x+2y=16$, and the area of the parallelogram is $42$. Find $p+q$.",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q24;CAT_2019_S1_QA_Q03;CAT_2019_S1_QA_Q28;CAT_2020_S1_QA_Q05;CAT_2020_S1_QA_Q09;CAT_2020_S1_QA_Q21;CAT_2020_S1_QA_Q25;CAT_2020_S2_QA_Q04,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_06_coordinate_mensuration_gpt55_cleaned.tex,CAT_QA_SPEC_18,Coordinate Geometry,Geometry,1.0,using parallelogram area before fixing the vertex order and diagonal condition,,"The question combines diagonal midpoint geometry, determinant area, integer-coordinate feasibility, and a final positional restriction. A direct application of the area formula alone gives two branches, so the hidden coordinate condition is essential."
Weighted average problem,4,CAT_QA_SPEC_15_GPT55Thinking_AVGDIV_02,0.89,Treating the average of the $8$ added items as $68$. | Using $n+8$ as the denominator after removing $5$ old items. | Subtracting $52$ instead of $5\times 52$.,$17$,0.55,NO,"Step 1: The original total of the $n$ items is \[ 64n. \] Step 2: Let the total of the $8$ added items be $S$. From the first average condition, \[ 64n+S=68(n+8). \] Step 3: Hence \[ S=68n+544-64n=4n+544. \] Step 4: The $5$ removed original items have total \[ 5\times 52=260. \] Step 5: Under the second arrangement, the total becomes \[ 64n-260+S, \] and the number of items becomes \[ n-5+8=n+3. \] Step 6: The second average condition gives \[ 64n-260+(4n+544)=72(n+3). \] Step 7: Simplify: \[ 68n+284=72n+216, \] so \[ 4n=68. \] Therefore, \[ n=17. \]",Hard,1.0,4.0,0.294,0.700,0.829,,added group total must be inferred first and then reused after a removal,,,,,1.0,YES,,OK,0.352,"A group has $n$ items with average value $64$. When $8$ new items are added, the average becomes $68$. If, before adding these $8$ new items, $5$ of the original items with average value $52$ had been removed, then the average of the resulting group would have been $72$. Find $n$.",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q21;CAT_2017_S2_QA_Q26;CAT_2018_S2_QA_Q02;CAT_2019_S2_QA_Q02;CAT_2020_S1_QA_Q08;CAT_2020_S1_QA_Q10;CAT_2020_S3_QA_Q06;CAT_2020_S3_QA_Q17,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_07_averages_divisibility_gpt55_cleaned.tex,CAT_QA_SPEC_15,Averages,Arithmetic,1.0,using the final denominator before removing the specified old items,,The added group is not directly given; its total must be inferred from one scenario and inserted into a different scenario with a changed denominator. This creates a strong weighted-average trap and forces disciplined total-based reasoning.
Mensuration volume/area problem,3.0,CAT_QA_SPEC_19_ELITE2_04,0.79,,120 sq cm,,,Step 1: The final enlarged area is 3 x 45 = 135. Step 2: The length-breadth changes multiply area by 1.25 x 0.90 = 1.125. Step 3: Let original area be A. Step 4: Then 1.125A=135. Step 5: Therefore A=120 square cm.,Hard,,3.5,,0.698,0.698,codex_weak_spec_elite_generation,The comparison base is the original area before two unequal dimensional changes.,108 sq cm,120 sq cm,135 sq cm,150 sq cm,,NO,,,,A rectangle is enlarged by increasing its length by 25% and decreasing its breadth by 10%. The enlarged rectangle is then cut into three equal-area parts. Each part has area 45 square cm. What was the original area?,MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q18;CAT_2017_S1_QA_Q19;CAT_2018_S1_QA_Q13,,CAT_QA_SPEC_19,Mensuration,Geometry,,area base-change trap,VERIFIED,
Nested-log domain with boundary counting,4,CAT_QA_SPEC_16_GENSPARK_FINAL_02,0.94,"Computing decimal approximations for each $x$ from 1 to 10 and making rounding errors that include or exclude boundary values incorrectly. | Failing to recognise strict monotonicity and instead checking only a few scattered values, potentially missing that all integers below 6 automatically qualify. | Answering 5 by using a strict inequality ($< 2$) instead of the given non-strict inequality ($\le 2$), thereby excluding the boundary $x = 6$.",(C) $6$,0.55,NO,"Step 1: Determine the domain for positive integers. For $f(x)$: we need $\log_3(x+3) > 0$, i.e.\ $x + 3 > 1$, giving $x > -2$. For $g(x)$: we need $\log_2(x+2) > 0$, i.e.\ $x + 2 > 1$, giving $x > -1$. For positive integers, $x \ge 1$, so the domain constraint is automatically satisfied. Step 2: Observe that both $f$ and $g$ are strictly increasing functions of $x$ on the domain $x > -1$ (each is a composition of increasing functions). Therefore $h(x) = f(x) + g(x)$ is also strictly increasing. Step 3: Evaluate $h$ at $x = 6$: \[ f(6) = \log_2\!\bigl(\log_3 9\bigr) = \log_2 2 = 1, \qquad g(6) = \log_3\!\bigl(\log_2 8\bigr) = \log_3 3 = 1. \] So $h(6) = 2$, which satisfies $h(x) \le 2$. Step 4: At $x = 7$: \[ \log_3(10) > \log_3(9) = 2 \implies f(7) > 1; \qquad \log_2(9) > \log_2(8) = 3 \implies g(7) > 1. \] Hence $h(7) > 2$, and by strict monotonicity, $h(x) > 2$ for all integers $x \ge 7$. Step 5: Since $h$ is strictly increasing and $h(6) = 2$, every positive integer $x \le 6$ satisfies $h(x) \le 2$. The qualifying values are $x \in \{1, 2, 3, 4, 5, 6\}$, giving a count of $\boxed{6}$.",Hard,1.0,4.5,0.235,0.694,0.832,,At x = 6 both nested logs evaluate to exact integers making the sum exactly equal the bound; monotonicity then determines all other values,$4$,$5$,$6$,$7$,0.75,YES,,OK,0.308,Define $f(x) = \log_2\!\bigl(\log_3(x+3)\bigr)$ and $g(x) = \log_3\!\bigl(\log_2(x+2)\bigr)$ for all real $x$ in the common domain of $f$ and $g$. How many positive integers $x$ satisfy $f(x) + g(x) \le 2$?,MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q22;CAT_2018_S1_QA_Q12;CAT_2020_S2_QA_Q05,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_04_linear_equations_logarithms_final.tex,CAT_QA_SPEC_16,Logarithms,Algebra,1.0,Boundary-value inclusion/exclusion error at the exact equality point,,"The problem tests the interplay between nested logarithmic domains, monotonicity reasoning, and boundary-value analysis. The key insight---that $x = 6$ produces exact integer values inside both nested logs, making $h(6)$ equal to the bound exactly---is the hidden condition. Students who skip the boundary check will either miss $x = 6$ (getting 5) or include $x = 7$ (getting 7). No numerical approximation is needed once monotonicity and the exact evaluation at $x = 6$ are established."
